school_id,school_name,city,state,imagery_source,imagery_vintage,campus_resolution_notes,solar_present,solar_present_confidence,solar_area_m2,solar_area_m2_confidence,portable_classroom_count,portable_classroom_count_confidence,perimeter_fencing,perimeter_fencing_confidence,dominant_fence_type,dominant_fence_type_confidence,running_track,running_track_confidence,full_size_sports_fields,full_size_sports_fields_confidence,hard_courts,hard_courts_confidence,pool,pool_confidence,review_status,failure_notes
341560004108,Spring Lake Heights Elementary School,Spring Lake Heights,NJ,USDA National Agriculture Imagery Program (NAIP),2023-08-09,"Matched 'Spring Lake Heights Elementary School' from OSM node/357739462; name similarity 1.000, CCD-to-center distance 24.4 m, candidate margin 0.565. Match did not meet the automatic polygon/name/distance thresholds. Gemini boundary proposal is used only to center and size a generously buffered crop; it is not an authoritative campus boundary or measurement mask. The facility model must inspect the entire detail image and flag ownership or perimeter ambiguity.",unknown,0.20,unknown,0.20,0,0.96,partial,0.60,wrought-iron,0.60,no,0.96,2,0.60,1,0.96,no,0.96,needs-review,"Pipeline review required: solar_present, solar_area_m2, perimeter_fencing, dominant_fence_type, full_size_sports_fields. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
360008802312,PS 78 ANNE HUTCHINSON,Bronx,NY,USDA National Agriculture Imagery Program (NAIP),2022-09-15,"Matched 'P.S. 78 - The Anne Hutchinson School' from OSM way/1547003348; name similarity 0.894, CCD-to-center distance 18.3 m, candidate margin 0.441. Match passed the frozen automatic-resolution thresholds.",no,0.96,0,0.96,0,0.60,full,0.60,chain-link,0.60,no,0.60,0,0.60,1,0.60,no,0.60,needs-review,"Pipeline review required: portable_classroom_count, perimeter_fencing, dominant_fence_type, running_track, full_size_sports_fields, hard_courts, pool. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
390494903613,Adena Elementary School,Frankfort,OH,USDA National Agriculture Imagery Program (NAIP),2023-05-25,"No named public school candidate was found within 1,500 metres. Gemini boundary proposal is used only to center and size a generously buffered crop; it is not an authoritative campus boundary or measurement mask. The facility model must inspect the entire detail image and flag ownership or perimeter ambiguity.",no,0.96,0,0.96,0,0.96,none,0.60,none,0.96,no,0.96,1,0.60,0,0.60,no,0.96,needs-review,"Pipeline review required: perimeter_fencing, full_size_sports_fields, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
390458502363,Ridgeview Elementary School,Ashtabula,OH,USDA National Agriculture Imagery Program (NAIP),2023-05-26,"No named public school candidate was found within 1,500 metres. Gemini boundary proposal is used only to center and size a generously buffered crop; it is not an authoritative campus boundary or measurement mask. The facility model must inspect the entire detail image and flag ownership or perimeter ambiguity.",no,0.96,0,0.96,0,0.60,none,0.60,none,0.60,no,0.96,0,0.96,1,0.60,no,0.96,needs-review,"Pipeline review required: portable_classroom_count, perimeter_fencing, dominant_fence_type, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
402277001928,EMERSON ALTERNATIVE ED. (HS),Oklahoma City,OK,USDA National Agriculture Imagery Program (NAIP),2023-06-19,"Matched 'Emerson Alternative High School' from OSM way/140026884; name similarity 1.000, CCD-to-center distance 5.3 m, candidate margin 0.647. Match passed the frozen automatic-resolution thresholds.",no,0.96,0,0.96,0,0.96,none,0.96,none,0.96,no,0.96,0,0.96,1,0.60,no,0.96,needs-review,Pipeline review required: hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json.
401452000682,HILLDALE LOWER ES,Muskogee,OK,USDA National Agriculture Imagery Program (NAIP),2023-10-01,"Matched 'Hilldale Elementary School' from OSM way/1424666351; name similarity 0.727, CCD-to-center distance 205.4 m, candidate margin 0.304. Match is usable for a provisional crop but requires human review. Gemini boundary proposal is used only to center and size a generously buffered crop; it is not an authoritative campus boundary or measurement mask. The facility model must inspect the entire detail image and flag ownership or perimeter ambiguity.",no,0.96,0,0.96,0,0.60,none,0.60,none,0.60,no,0.60,1,0.60,0,0.60,no,0.60,needs-review,"Pipeline review required: portable_classroom_count, perimeter_fencing, dominant_fence_type, running_track, full_size_sports_fields, hard_courts, pool. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
421917006915,Pittsburgh Brashear HS,Pittsburgh,PA,USDA National Agriculture Imagery Program (NAIP),2022-05-09,"Matched 'Brashear High School' from OSM way/217979330; name similarity 0.593, CCD-to-center distance 32.7 m, candidate margin 0.338. Match did not meet the automatic polygon/name/distance thresholds. No trustworthy polygon was available. The stored public/CCD center controls an 800 m crop; the facility model must search the entire detail image and flag all ownership or perimeter ambiguity.",no,0.96,0,0.96,0,0.60,none,0.60,none,0.60,no,0.60,2,0.60,1,0.60,no,0.60,needs-review,"Pipeline review required: portable_classroom_count, perimeter_fencing, dominant_fence_type, running_track, full_size_sports_fields, hard_courts, pool. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
421929000163,Pleasant Valley El Sch,Kunkletown,PA,USDA National Agriculture Imagery Program (NAIP),2022-04-29,"Matched 'Pleasant Valley Elementary School' from OSM way/570810008; name similarity 0.811, CCD-to-center distance 24.4 m, candidate margin 0.134. Match passed the frozen automatic-resolution thresholds.",no,0.96,0,0.96,0,0.60,unknown,0.20,none,0.60,no,0.60,0,0.60,0,0.60,no,0.60,needs-review,"Pipeline review required: portable_classroom_count, perimeter_fencing, dominant_fence_type, running_track, full_size_sports_fields, hard_courts, pool. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
450387001491,India Hook Elementary,Rock Hill,SC,USDA National Agriculture Imagery Program (NAIP),2023-04-11,"Matched 'India Hook Elementary School' from OSM way/259797995; name similarity 1.000, CCD-to-center distance 57.9 m, candidate margin 0.992. Match passed the frozen automatic-resolution thresholds.",no,0.96,0,0.96,0,0.96,none,0.60,none,0.60,no,0.96,1,0.96,1,0.60,no,0.96,needs-review,"Pipeline review required: perimeter_fencing, dominant_fence_type, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
481455000943,COLEMAN H S,Coleman,TX,USDA National Agriculture Imagery Program (NAIP),2022-09-19,"Matched 'Coleman Elementary School' from OSM node/356796792; name similarity 0.778, CCD-to-center distance 328.9 m, candidate margin 0.060. Match did not meet the automatic polygon/name/distance thresholds. Gemini boundary proposal is used only to center and size a generously buffered crop; it is not an authoritative campus boundary or measurement mask. The facility model must inspect the entire detail image and flag ownership or perimeter ambiguity.",no,0.96,0,0.96,0,0.96,none,0.96,none,0.96,yes,0.96,2,0.60,1,0.60,no,0.96,needs-review,"Pipeline review required: full_size_sports_fields, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
481623001325,PAUL L DUNBAR LEARNING CENTER,Dallas,TX,USDA National Agriculture Imagery Program (NAIP),2022-07-04,"Matched 'Paul L Dunbar Learning Center' from OSM way/449158563; name similarity 1.000, CCD-to-center distance 27.0 m, candidate margin 0.424. Match passed the frozen automatic-resolution thresholds.",no,0.96,0,0.96,0,0.96,partial,0.60,chain-link,0.60,no,0.96,0,0.96,1,0.96,no,0.96,needs-review,"Pipeline review required: perimeter_fencing, dominant_fence_type. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
550957000382,Northside Intermediate,Milton,WI,USDA National Agriculture Imagery Program (NAIP),2022-06-24,"Matched 'Northside Intermediate School' from OSM way/361979144; name similarity 1.000, CCD-to-center distance 77.5 m, candidate margin 0.686. Match passed the frozen automatic-resolution thresholds.",no,0.96,0,0.96,0,0.96,none,0.96,none,0.96,no,0.96,0,0.96,0,0.96,no,0.96,unreviewed,Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json.
