school_id,school_name,city,state,imagery_source,imagery_vintage,campus_resolution_notes,solar_present,solar_present_confidence,solar_area_m2,solar_area_m2_confidence,portable_classroom_count,portable_classroom_count_confidence,perimeter_fencing,perimeter_fencing_confidence,dominant_fence_type,dominant_fence_type_confidence,running_track,running_track_confidence,full_size_sports_fields,full_size_sports_fields_confidence,hard_courts,hard_courts_confidence,pool,pool_confidence,review_status,failure_notes
263039006679,Thompson Middle School,Saginaw,MI,USDA NAIP,2022-08-11,Authoritative campus polygon used for measurement scope.,no,0.80,0,0.80,0,0.80,full,0.60,chain-link,0.60,no,0.80,0,0.80,0,0.80,no,0.80,reviewed,perimeter_fencing and dominant_fence_type: reviewer corrected none/none to full/chain-link. full_size_sports_fields: reviewer corrected 1 to 0 because the west lawn is clean open turf without sports markings and does not meet the frozen formal-field definition.
270543000204,Bertha Secondary,Bertha,MN,USDA NAIP,2023-07-26,"Center-only 800 m crop at the stored public/CCD center; no campus polygon is asserted, so ownership and perimeter confidence remain conservative.",no,0.80,0,0.80,0,0.80,none,0.40,none,0.40,no,0.80,5,0.80,0,0.80,no,0.80,reviewed,"perimeter_fencing and dominant_fence_type: reviewer approved none, but center-only scope and aerial-only boundary evidence limit confidence to 0.40."
330246000063,Rundlett Middle School,Concord,NH,USDA NAIP,2023-08-31,Authoritative campus polygon used for measurement scope.,no,0.60,0,0.60,0,0.80,none,0.40,none,0.40,no,0.80,3,0.60,0,0.60,no,0.80,reviewed,solar_present and solar_area_m2: reviewer confirmed no qualifying rooftop solar despite repeated dark roof rows that created a high-priority visual recheck; confidence capped at 0.60. full_size_sports_fields: reviewer corrected 2 to 3. hard_courts: reviewer corrected 1 to 0. perimeter fencing/type retained as none/none at 0.40 because boundary visibility was incomplete.
341560004108,Spring Lake Heights Elementary School,Spring Lake Heights,NJ,USDA NAIP,2023-08-09,Soft boundary used only for centering and crop size; the entire detail image was reviewed because ownership boundaries were non-authoritative.,yes,0.80,3500,0.60,0,0.80,full,0.60,wrought-iron,0.60,no,0.80,2,0.60,4,0.60,no,0.80,reviewed,perimeter_fencing and dominant_fence_type: reviewer corrected none/none to full/metal-rod fencing; metal rod is recorded under the allowed wrought-iron category. full_size_sports_fields: reviewer corrected 3 to 2. hard_courts: reviewer corrected 1 to 4 complete courts. solar area remains approximately 3500 m2 at 0.60; the VLM's overbroad 10098 m2 polygon was rejected and is not treated as area truth.
360008802312,PS 78 ANNE HUTCHINSON,Bronx,NY,,,,,,,,,,,,,,,,,,,,,,unreviewed,
390494903613,Adena Elementary School,Frankfort,OH,USDA NAIP,2023-05-25,Gemini proposal used only as soft crop guidance; the entire detail image was reviewed and the polygon was not treated as an ownership mask.,no,0.80,0,0.80,0,0.80,none,0.40,none,0.40,no,0.80,2,0.80,2,0.60,no,0.80,reviewed,"hard_courts: reviewer corrected the raw count from 1 to 2; broad soft-scope imagery and model disagreement limit confidence to 0.60. perimeter_fencing and dominant_fence_type: reviewer approved none, but non-authoritative scope and aerial-only evidence limit confidence to 0.40."
390458502363,Ridgeview Elementary School,Ashtabula,OH,USDA NAIP,2023-05-26,Gemini proposal used only as soft crop guidance; the entire detail image was reviewed and the polygon was not treated as an ownership mask.,no,0.80,0,0.80,0,0.80,none,0.40,none,0.40,no,0.80,0,0.60,unknown,0.20,no,0.80,reviewed,"hard_courts: one large paved slab is visible, but the imagery does not resolve whether it contains one or two independently playable courts; unknown. perimeter_fencing and dominant_fence_type: reviewer approved none, but non-authoritative scope and aerial-only evidence limit confidence to 0.40."
402277001928,EMERSON ALTERNATIVE ED. (HS),Oklahoma City,OK,USDA NAIP,2023-06-19,"Automatic OSM polygon match confirmed: Emerson Alternative High School; 1.000 name similarity, 5.3 m CCD distance, 0.647 candidate margin.",no,0.80,0,0.80,0,0.80,none,0.60,none,0.60,no,0.80,0,0.80,0,0.80,no,0.80,reviewed,hard_courts: one half-sized basketball play area is visible at the northwest campus corner but is excluded under the frozen full-playable-court definition. perimeter_fencing and dominant_fence_type: user approved none; aerial-only visibility limits confidence to 0.60.
401452000682,HILLDALE LOWER ES,Muskogee,OK,,,,,,,,,,,,,,,,,,,,,,unreviewed,
421917006915,Pittsburgh Brashear HS,Pittsburgh,PA,,,,,,,,,,,,,,,,,,,,,,unreviewed,
421929000163,Pleasant Valley El Sch,Kunkletown,PA,USDA NAIP,2022-04-29,"Matched 'Pleasant Valley Elementary School' from OSM way/570810008; name similarity 0.811, CCD-to-center distance 24.4 m, candidate margin 0.134. Match passed the frozen automatic-resolution thresholds.",no,0.80,0,0.80,0,0.80,full,0.60,chain-link,0.60,yes,0.60,2,0.60,0,0.80,no,0.80,reviewed,"Reviewer corrected fencing to full chain-link, identified a purpose-built running track, and counted two full-size fields."
450387001491,India Hook Elementary,Rock Hill,SC,USDA NAIP,2023-04-11,"Matched 'India Hook Elementary School' from OSM way/259797995; name similarity 1.000, CCD-to-center distance 57.9 m, candidate margin 0.992. Match passed the frozen automatic-resolution thresholds.",no,0.80,0,0.80,0,0.80,none,0.40,none,0.40,yes,0.60,1,0.80,0,0.80,no,0.80,reviewed,"Reviewer approved all other fields and identified the visible loop as a running track under construction; perimeter fencing remains none, with aerial-only and incomplete-visibility confidence capped at 0.40."
481455000943,COLEMAN H S,Coleman,TX,USDA NAIP,2022-09-19,Gemini proposal used only as soft crop guidance after the public match failed automatic thresholds; the entire detail image was reviewed.,no,0.80,0,0.80,0,0.80,none,0.40,none,0.40,yes,0.80,3,0.80,2,0.80,no,0.80,reviewed,"perimeter_fencing and dominant_fence_type: reviewer approved none, but non-authoritative scope and aerial-only evidence limit confidence to 0.40."
481623001325,PAUL L DUNBAR LEARNING CENTER,Dallas,TX,USDA NAIP,2022-07-04,"Matched 'Paul L Dunbar Learning Center' from OSM way/449158563; name similarity 1.000, CCD-to-center distance 27.0 m, candidate margin 0.424. Match passed the frozen automatic-resolution thresholds.",no,0.80,0,0.80,0,0.80,partial,0.60,chain-link,0.60,no,0.80,0,0.80,1,0.80,no,0.80,reviewed,Reviewer corrected the perimeter assessment to partial chain-link fencing and approved all other VLM suggestions.
550957000382,Northside Intermediate,Milton,WI,USDA NAIP,2022-06-24,"Matched 'Northside Intermediate School' from OSM way/361979144; name similarity 1.000, CCD-to-center distance 77.5 m, candidate margin 0.686. Match passed the frozen automatic-resolution thresholds.",no,0.80,0,0.80,0,0.80,none,0.60,none,0.60,no,0.80,1,0.60,0,0.80,no,0.80,reviewed,Reviewer identified visible goals on the west lawn and corrected the full-size sports-field count from zero to one; all other VLM suggestions were approved.
